Sample_ID,State,Water_Source,pH,Temperature_C,Turbidity_NTU,Dissolved_Oxygen_mgL,BOD_mgL,COD_mgL,Total_Dissolved_Solids_mgL,Electrical_Conductivity_uScm,Total_Hardness_mgL,Calcium_mgL,Magnesium_mgL,Chloride_mgL,Sulfate_mgL,Nitrate_mgL,Fluoride_mgL,Total_Coliform_MPN100mL,Lead_mgL,Sampling_Date,WQI_Score,WQI_Class
WQ1274,Rajasthan,River,7.15,27.6,12.41,6.83,0.86,19.84,530.5,775.2,307.1,47.99,13.17,24.32,153.49,4.42,0.7,140.0,0.0035,2024-01-17,91.51,Excellent
WQ1275,Punjab,Reservoir,7.46,27.6,5.04,8.1,1.4,24.03,714.2,942.6,177.7,66.72,15.71,19.15,10.11,6.26,0.09,129.0,0.0201,2025-09-14,90.92,Excellent
WQ1276,Karnataka,Tap,7.46,26.2,4.97,8.9,0.88,24.84,471.6,620.7,376.7,65.23,12.9,6.72,46.57,3.73,0.54,76.0,0.0041,2025-05-02,93.01,Excellent
WQ1277,Punjab,River,7.54,24.1,2.58,6.88,2.01,1.07,268.7,467.7,152.9,58.87,26.02,66.01,11.89,12.48,1.34,702.0,0.0013,2024-04-03,82.75,Good
WQ1278,Bihar,Lake,8.49,27.4,6.98,10.71,1.57,39.29,641.6,519.2,238.7,49.18,11.95,2.0,47.6,0.32,0.72,320.0,0.0104,2024-01-10,84.8,Good
WQ1279,Punjab,Well,7.56,27.0,3.79,7.45,12.93,12.26,582.7,700.5,194.5,69.81,16.79,42.47,64.12,4.52,0.1,208.0,0.0568,2025-12-24,73.23,Good
WQ1280,Haryana,Well,7.0,22.2,5.66,6.31,0.17,6.09,244.8,382.2,151.2,36.85,16.53,6.1,64.06,3.85,1.21,116.0,0.0026,2025-06-11,95.73,Excellent
WQ1281,Haryana,Pond,7.97,21.1,2.8,3.78,0.46,5.54,526.3,549.9,324.1,29.76,21.87,41.57,84.39,8.34,0.22,93.0,0.0033,2025-05-03,90.19,Excellent
WQ1282,MadhyaPradesh,Well,8.15,24.5,6.57,6.47,0.16,13.19,649.5,545.2,303.5,91.07,7.15,3.26,96.05,27.12,0.36,31.0,0.0357,2024-05-23,83.59,Good
WQ1283,Maharashtra,Groundwater,6.22,31.7,8.7,6.33,2.95,43.58,686.4,1337.4,370.9,78.18,26.05,144.25,4.02,5.71,0.45,55.0,0.002,2025-07-07,86.8,Good
WQ1284,Gujarat,Tap,7.68,17.8,0.79,8.92,0.17,9.51,436.7,50.0,72.0,61.65,39.97,18.83,21.02,34.67,1.14,223.0,0.0072,2025-05-29,83.48,Good
WQ1285,Rajasthan,Reservoir,7.76,16.7,8.95,7.92,5.43,27.7,378.4,646.1,356.4,101.63,26.63,31.84,58.1,2.88,1.61,91.0,0.0027,2025-04-14,83.6,Good
WQ1286,Punjab,Pond,6.96,24.8,3.89,4.64,2.15,2.04,695.5,1217.7,500.5,53.31,43.5,163.25,34.52,0.25,1.59,321.0,0.0269,2025-01-11,92.12,Excellent
WQ1287,Punjab,Groundwater,8.3,24.3,9.31,7.34,2.25,12.93,208.0,736.6,204.8,93.07,41.01,109.72,10.58,1.45,0.0,24.0,0.0399,2025-10-29,86.66,Good
WQ1288,Delhi,Groundwater,7.08,24.9,2.82,8.34,2.47,95.8,537.7,926.0,439.5,64.39,34.33,19.78,40.23,4.02,1.53,106.0,0.0169,2025-05-08,92.78,Excellent
WQ1289,Odisha,River,7.3,25.2,2.38,10.06,0.56,29.43,176.0,729.9,223.7,34.38,25.9,5.97,26.16,3.04,0.03,156.0,0.0038,2025-11-15,94.47,Excellent
WQ1290,Haryana,Well,7.06,22.9,12.33,8.78,0.66,4.73,663.1,499.8,112.8,106.2,25.27,100.61,24.72,0.82,0.19,109.0,0.0052,2025-04-28,93.68,Excellent
WQ1291,Rajasthan,Lake,7.21,31.4,1.45,8.52,1.15,13.92,398.4,50.0,219.4,84.77,34.17,39.64,82.97,4.53,0.43,330.0,0.0028,2025-03-27,92.13,Excellent
WQ1292,MadhyaPradesh,Lake,6.32,16.0,9.3,7.12,2.7,5.32,703.7,761.6,354.8,56.97,20.3,116.22,26.18,3.3,0.39,684.0,0.0221,2025-06-19,81.93,Good
WQ1293,WestBengal,Pond,6.05,19.9,3.31,7.78,0.71,10.54,548.3,467.3,166.2,78.18,2.41,47.15,1.34,1.05,0.56,18.0,0.0246,2024-03-15,92.7,Excellent
WQ1294,Maharashtra,Tap,8.48,23.5,3.61,9.5,0.37,30.29,205.4,459.9,190.0,49.91,30.9,33.97,2.99,2.81,0.39,21.0,0.0054,2024-02-09,89.91,Good
WQ1295,Gujarat,Lake,6.52,15.8,1.84,4.33,10.53,29.5,734.9,550.3,309.4,80.73,11.43,48.0,96.98,17.4,1.63,21.0,0.0107,2024-10-28,75.82,Good
WQ1296,UP,Reservoir,6.41,23.1,4.26,6.3,0.07,5.18,760.2,1223.5,250.3,2.0,13.45,110.44,161.7,2.88,0.17,171.0,0.0018,2025-07-05,93.09,Excellent
WQ1297,Gujarat,Lake,5.48,32.3,1.97,5.45,4.87,51.08,626.5,1421.5,308.5,34.5,25.0,186.0,58.3,10.01,0.19,70.0,0.0057,2024-03-02,80.8,Good
WQ1298,Bihar,Pond,6.69,24.1,0.2,7.76,4.65,17.96,297.7,765.2,273.8,84.48,23.86,4.08,22.66,7.57,1.52,198.0,0.01,2025-05-17,87.16,Good
WQ1299,Karnataka,Lake,6.14,25.2,1.59,9.46,1.06,9.56,388.8,560.6,298.0,53.76,8.06,59.41,139.52,4.46,0.05,78.0,0.0049,2024-09-01,91.52,Excellent
WQ1300,Bihar,Reservoir,8.51,17.7,0.03,5.81,0.44,13.94,479.1,346.8,206.8,65.19,26.99,2.67,54.35,2.19,0.56,148.0,0.0044,2024-01-18,89.64,Good
WQ1301,Punjab,River,8.01,20.9,19.16,2.22,0.47,18.58,309.3,840.6,273.2,26.33,36.59,50.55,93.0,3.68,0.69,220.0,0.0,2025-10-13,85.19,Good
WQ1302,Assam,Tap,6.65,22.1,16.87,6.18,3.59,16.41,788.5,1234.9,157.3,106.2,11.46,173.22,72.59,7.17,0.42,119.0,0.0163,2025-02-01,84.46,Good
WQ1303,Maharashtra,Pond,9.0,22.4,2.51,8.83,3.09,13.33,478.9,625.8,378.8,89.76,40.27,35.9,23.83,3.46,0.71,116.0,0.022,2025-08-16,82.41,Good
WQ1304,Karnataka,River,7.99,30.4,6.52,8.08,4.58,14.06,20.0,50.0,186.6,54.98,6.28,215.59,32.57,1.94,0.11,14.0,0.0349,2024-07-07,85.5,Good
WQ1305,Rajasthan,River,6.94,26.8,2.12,7.86,8.32,3.88,517.9,901.0,362.9,49.88,50.41,79.67,10.3,0.99,1.15,79.0,0.0127,2025-09-11,85.5,Good
WQ1306,UP,River,5.2,18.4,5.56,6.44,3.53,33.5,380.4,995.6,226.6,85.74,20.06,217.64,17.27,16.95,0.09,118.0,0.008,2024-04-13,77.77,Good
WQ1307,Haryana,Groundwater,9.03,25.2,8.18,4.44,0.51,15.61,435.0,224.2,270.2,109.56,26.75,113.23,75.28,4.64,0.31,93.0,0.0031,2025-10-07,84.31,Good
WQ1308,Maharashtra,Tap,6.09,26.5,14.66,8.03,0.84,2.81,376.3,752.9,200.5,83.84,2.3,8.73,112.21,7.85,0.05,347.0,0.0726,2024-12-09,83.97,Good
WQ1309,Maharashtra,Well,5.88,29.7,2.56,5.33,5.54,29.06,611.4,835.4,148.4,114.3,24.25,21.03,64.45,5.39,0.47,356.0,0.0089,2025-01-05,80.14,Good
WQ1310,Bihar,Tap,8.02,31.9,7.65,11.37,0.7,53.9,673.9,678.1,75.5,36.94,27.74,40.09,31.29,16.48,0.66,259.0,0.0114,2024-02-02,84.02,Good
WQ1311,Assam,Groundwater,9.15,18.9,1.55,8.14,0.23,58.87,506.6,462.8,144.5,39.52,23.97,14.92,4.52,6.33,1.7,71.0,0.0115,2025-01-08,85.83,Good
WQ1312,Punjab,Well,8.31,19.9,23.19,5.84,3.64,9.21,382.1,1004.8,217.6,30.28,18.24,54.64,2.93,5.24,0.81,190.0,0.0187,2024-06-26,77.56,Good
WQ1313,TamilNadu,Tap,7.65,17.7,0.13,5.78,1.55,2.91,441.7,579.0,271.2,71.04,13.64,51.0,23.45,20.68,0.47,75.0,0.0001,2024-01-12,87.43,Good
WQ1314,MadhyaPradesh,River,7.68,22.8,4.63,6.81,7.58,14.61,453.9,254.4,351.0,64.39,38.57,250.36,31.16,10.17,1.62,40.0,0.0025,2025-03-31,80.39,Good
WQ1315,Bihar,Pond,7.88,26.3,5.39,6.52,3.15,2.39,289.5,85.2,205.4,56.2,25.37,45.49,46.97,0.95,0.39,63.0,0.011,2025-10-04,88.34,Good
WQ1316,Maharashtra,Well,7.81,28.9,5.82,9.23,0.28,54.36,565.8,1078.3,161.8,80.23,43.49,123.2,1.0,1.57,0.49,11.0,0.0226,2024-09-05,93.2,Excellent
WQ1317,Kerala,Reservoir,7.42,23.6,0.64,7.37,8.86,4.06,542.0,885.0,105.7,90.81,18.68,227.66,228.89,12.38,0.54,60.0,0.0116,2025-03-23,80.1,Good
WQ1318,Delhi,Reservoir,7.28,22.4,13.95,5.54,0.9,5.83,758.1,726.4,298.0,21.86,19.78,167.64,22.62,14.46,0.32,93.0,0.0053,2025-07-23,87.8,Good
WQ1319,UP,Lake,7.15,24.8,1.0,10.78,1.23,10.44,701.1,567.9,388.3,45.08,34.79,18.72,94.22,6.3,1.09,467.0,0.0045,2024-01-04,90.55,Excellent
WQ1320,MadhyaPradesh,Well,6.6,19.8,4.87,7.1,1.54,9.66,312.9,541.3,376.6,80.5,5.52,54.82,38.28,6.47,0.12,56.0,0.0134,2024-08-23,91.73,Excellent
WQ1321,Bihar,Pond,6.98,34.4,1.26,8.54,0.16,31.66,614.1,377.3,321.0,48.31,10.44,34.18,6.99,8.0,0.49,349.0,0.0135,2024-06-21,93.39,Excellent
WQ1322,UP,Groundwater,5.85,16.0,1.84,5.78,2.06,12.19,259.8,570.6,313.9,40.04,38.17,40.85,79.87,4.63,0.77,39.0,0.0093,2024-11-17,88.83,Good
WQ1323,Delhi,River,7.12,24.9,3.95,7.73,0.39,3.75,589.2,64.0,419.8,85.46,10.94,35.8,61.86,9.12,1.41,32.0,0.0034,2025-01-05,94.57,Excellent
WQ1324,WestBengal,Lake,6.41,34.1,2.7,7.62,1.54,6.22,346.7,479.2,283.2,27.76,3.17,140.06,37.48,0.92,1.29,110.0,0.0259,2025-07-01,92.55,Excellent
WQ1325,Delhi,Reservoir,6.32,24.0,0.87,3.22,1.3,14.23,245.3,606.7,314.6,52.46,47.42,48.14,36.13,26.01,0.43,167.0,0.008,2024-10-22,84.92,Good
WQ1326,Assam,Groundwater,7.34,23.0,0.94,11.03,4.45,3.19,506.0,883.0,217.9,68.22,8.27,59.34,4.58,11.1,0.62,7.0,0.0156,2025-02-03,87.94,Good
WQ1327,Delhi,Groundwater,8.31,22.2,2.71,9.58,4.88,18.92,20.0,688.0,113.8,45.65,27.21,323.4,53.33,7.98,0.3,37.0,0.0024,2024-02-27,82.55,Good
WQ1328,UP,River,7.93,23.1,7.08,6.21,0.5,16.68,99.8,938.5,181.6,79.58,25.83,4.95,121.09,3.04,0.38,91.0,0.0042,2025-06-13,90.65,Excellent
WQ1329,Gujarat,Well,5.94,30.9,11.41,4.8,1.37,25.08,414.5,1104.7,249.1,45.78,1.0,53.55,4.89,1.4,1.42,60.0,0.0208,2025-07-01,88.2,Good
WQ1330,UP,Reservoir,6.41,12.9,0.44,7.7,1.4,55.52,466.5,1017.5,256.1,95.22,21.79,119.0,15.29,4.21,1.6,187.0,0.0005,2025-02-11,91.68,Excellent
WQ1331,TamilNadu,Pond,7.95,31.7,2.5,7.17,0.49,48.67,376.1,841.2,442.6,56.86,30.38,13.11,116.3,8.67,1.35,107.0,0.0072,2025-10-02,90.09,Excellent
WQ1332,Punjab,Groundwater,6.41,16.9,0.53,7.71,4.81,58.4,134.1,703.6,258.1,76.78,29.25,75.64,16.73,8.03,0.09,26.0,0.0066,2025-05-27,87.01,Good
WQ1333,Karnataka,River,7.02,22.7,0.08,7.38,3.69,5.61,286.4,405.8,367.9,78.65,35.84,21.9,53.06,3.86,1.14,337.0,0.0139,2024-03-04,89.81,Good
WQ1334,Gujarat,Pond,7.64,21.9,5.42,8.01,0.63,2.82,528.2,922.0,206.5,44.31,20.35,161.64,38.27,7.6,1.78,52.0,0.0033,2025-07-27,91.43,Excellent
WQ1335,Haryana,Well,6.43,26.9,4.61,9.89,1.37,7.2,566.4,1203.9,218.8,8.66,33.55,31.69,45.36,13.45,0.27,197.0,0.0025,2025-02-23,87.71,Good
WQ1336,Karnataka,Reservoir,7.28,16.0,0.89,8.14,0.34,45.09,446.8,802.6,117.1,69.02,16.73,31.93,26.87,0.21,0.44,227.0,0.0261,2024-05-25,95.49,Excellent
WQ1337,Punjab,Well,6.13,26.3,1.33,4.9,2.97,71.55,681.4,1275.2,175.8,61.81,8.07,72.94,17.83,4.79,0.91,495.0,0.0085,2024-09-28,84.41,Good
WQ1338,Bihar,Groundwater,6.72,34.1,0.12,9.73,0.39,39.23,529.5,242.3,302.7,73.9,9.43,16.22,2.49,11.37,0.5,104.0,0.0011,2024-01-17,93.53,Excellent
WQ1339,MadhyaPradesh,Pond,7.46,17.2,9.01,10.28,12.79,2.33,300.5,353.8,250.8,54.34,7.45,26.83,68.18,6.32,3.02,144.0,0.0021,2024-04-07,72.48,Good
WQ1340,TamilNadu,Pond,5.93,24.9,18.38,13.3,4.55,58.91,393.9,956.6,344.3,49.24,37.12,43.11,68.54,8.43,0.36,61.0,0.0675,2025-03-27,79.17,Good
WQ1341,TamilNadu,Pond,7.55,20.7,0.73,4.75,1.48,11.01,169.4,779.3,268.1,110.21,6.83,34.91,55.54,5.82,0.75,170.0,0.0022,2024-08-30,91.37,Excellent
WQ1342,Haryana,Groundwater,7.18,26.1,1.32,7.49,2.59,0.19,428.4,1094.1,214.8,23.19,28.29,59.53,51.59,38.5,0.94,93.0,0.0094,2025-04-23,82.34,Good
WQ1343,Gujarat,Groundwater,7.64,24.1,10.14,2.84,7.27,11.68,672.4,695.4,464.8,78.35,21.81,73.23,13.97,0.45,0.41,86.0,0.0054,2024-07-19,81.86,Good
WQ1344,Assam,Well,7.38,20.8,13.05,8.11,2.42,0.94,587.1,439.6,240.6,45.63,23.77,66.9,1.13,5.4,1.17,290.0,0.0217,2025-04-17,86.03,Good
WQ1345,Odisha,Lake,8.29,26.4,2.72,5.9,0.58,15.7,730.4,635.9,366.3,51.61,41.36,84.94,82.7,0.77,0.47,8.0,0.0141,2024-06-27,91.55,Excellent
WQ1346,WestBengal,Well,7.3,33.0,0.26,10.85,1.43,8.27,389.4,240.2,209.9,52.07,19.74,29.42,33.78,1.39,0.32,321.0,0.0091,2025-05-22,92.65,Excellent
WQ1347,Delhi,Reservoir,6.86,23.0,0.2,5.45,5.56,12.83,719.2,361.4,321.0,39.91,32.34,10.81,18.32,3.86,0.07,287.0,0.0001,2025-03-28,86.87,Good
WQ1348,Gujarat,River,7.3,27.6,4.27,3.62,3.1,19.0,411.3,991.7,342.8,74.28,25.45,114.44,5.38,1.35,0.3,106.0,0.0212,2024-09-26,91.1,Excellent
WQ1349,MadhyaPradesh,Pond,7.63,17.5,2.5,6.06,3.16,40.62,744.3,961.8,270.8,94.77,23.18,152.19,3.24,26.52,0.79,101.0,0.0059,2024-08-21,82.39,Good
WQ1350,WestBengal,Lake,7.24,19.2,0.15,3.05,6.05,21.69,445.6,808.9,14.6,71.75,52.6,23.77,21.45,23.47,1.53,67.0,0.0268,2025-09-15,81.97,Good
WQ1351,TamilNadu,River,7.23,26.4,4.38,8.5,6.73,11.38,591.4,183.7,251.8,62.58,7.7,41.82,81.67,3.28,0.17,772.0,0.0068,2025-04-30,78.74,Good
WQ1352,UP,Lake,6.64,31.4,0.06,2.87,7.57,34.23,745.0,592.5,373.0,35.34,40.47,55.22,125.5,8.17,0.26,18.0,0.0118,2025-07-31,84.2,Good
WQ1353,MadhyaPradesh,Tap,6.67,25.8,7.74,7.06,0.3,47.2,411.3,332.5,302.7,72.92,32.88,60.97,113.53,6.1,0.1,134.0,0.0007,2024-12-03,92.41,Excellent
WQ1354,Punjab,Well,6.08,22.4,1.83,2.84,2.36,2.55,493.7,1053.0,294.6,113.91,19.25,86.18,126.29,13.52,0.7,172.0,0.0137,2025-03-23,85.53,Good
WQ1355,Haryana,Groundwater,8.6,24.0,0.21,6.36,4.05,15.18,707.8,524.9,77.8,50.48,44.55,3.4,119.15,7.9,1.93,408.0,0.0041,2025-08-06,79.41,Good
WQ1356,Punjab,Pond,6.2,17.7,4.44,10.29,4.24,6.7,423.4,374.3,178.0,50.6,2.82,102.26,37.46,0.0,0.61,227.0,0.0043,2024-12-22,86.04,Good
WQ1357,Odisha,Well,6.65,27.0,2.53,7.72,2.8,0.96,185.8,708.9,291.1,45.97,18.74,5.12,12.39,11.52,0.58,155.0,0.0013,2024-02-18,88.28,Good
WQ1358,MadhyaPradesh,River,6.63,28.4,18.21,5.27,0.55,22.09,878.6,508.0,291.0,47.76,10.5,50.53,79.99,10.99,0.48,19.0,0.0016,2025-05-10,88.38,Good
WQ1359,Rajasthan,Tap,7.92,21.7,3.93,6.94,4.79,39.72,356.0,1145.1,371.5,2.0,29.95,140.67,12.02,5.7,0.06,70.0,0.0021,2024-12-11,84.63,Good
WQ1360,Rajasthan,Tap,6.96,21.6,1.61,7.04,3.82,3.56,481.8,479.6,235.5,70.13,11.64,48.0,15.54,18.66,0.78,22.0,0.004,2025-12-02,87.77,Good
WQ1361,Bihar,Tap,8.2,25.3,6.18,7.95,0.27,33.47,681.2,280.2,290.6,38.86,30.2,12.92,13.28,19.13,0.55,320.0,0.0223,2024-10-19,82.8,Good
WQ1362,Gujarat,River,6.66,21.8,1.58,4.27,1.87,38.4,328.3,54.1,251.6,19.74,22.76,336.16,36.18,5.94,0.65,208.0,0.0046,2025-11-19,91.16,Excellent
WQ1363,TamilNadu,River,7.42,23.7,11.73,8.19,0.57,49.15,248.4,690.8,151.3,78.83,19.25,176.06,19.42,7.49,1.37,213.0,0.0129,2025-11-03,89.15,Good
WQ1364,TamilNadu,River,6.53,34.5,2.35,1.59,1.24,6.17,500.7,531.4,24.4,32.95,29.66,118.03,8.37,45.29,0.92,158.0,0.0009,2024-05-29,79.92,Good
WQ1365,Delhi,River,8.92,22.8,3.99,5.74,0.05,46.86,91.4,271.3,293.1,51.53,21.78,42.42,30.18,2.84,0.91,106.0,0.0089,2025-08-04,87.22,Good
WQ1366,Delhi,Tap,6.25,22.2,0.26,6.02,1.53,7.73,392.4,1056.8,267.4,96.66,11.94,16.25,103.54,3.14,1.57,24.0,0.0066,2025-06-28,92.7,Excellent
WQ1367,Delhi,Tap,7.45,20.8,2.78,8.27,2.39,16.07,499.0,900.2,188.2,24.77,58.62,226.98,42.26,1.61,2.76,60.0,0.0381,2024-09-16,92.25,Excellent
WQ1368,UP,Lake,7.71,27.7,8.93,7.05,2.9,1.04,396.0,691.5,88.1,21.69,19.15,60.8,105.32,18.1,0.52,22.0,0.0187,2024-11-17,83.77,Good
WQ1369,Karnataka,Well,7.53,23.1,8.19,4.19,3.27,0.9,141.3,1109.3,313.0,66.73,1.0,153.04,10.9,10.92,0.07,194.0,0.0061,2024-03-17,84.77,Good
WQ1370,Maharashtra,Pond,7.05,20.8,1.27,5.03,5.43,25.49,768.8,898.8,223.4,88.74,14.89,33.5,9.13,0.89,0.37,26.0,0.0149,2024-04-19,90.7,Excellent
WQ1371,Karnataka,Groundwater,7.1,30.6,1.28,7.4,0.73,11.76,470.7,453.1,305.7,20.64,9.79,32.67,42.85,32.04,0.93,182.0,0.0021,2025-10-12,86.59,Good
WQ1372,Punjab,Tap,7.24,31.1,8.5,6.84,0.39,5.92,736.2,388.2,436.4,70.19,34.91,338.91,31.12,10.5,0.02,177.0,0.0083,2025-06-30,90.75,Excellent
WQ1373,Karnataka,Groundwater,7.08,21.0,13.32,5.84,5.72,4.22,398.0,945.4,35.9,74.52,28.86,59.02,53.97,15.2,0.04,92.0,0.0008,2025-02-26,81.54,Good
WQ1374,UP,Well,7.97,14.7,0.5,6.04,0.51,22.17,274.0,818.9,180.0,8.52,29.78,12.13,79.15,0.39,0.04,22.0,0.0043,2025-01-28,93.9,Excellent
WQ1375,Bihar,Well,8.97,29.0,2.99,8.39,11.04,0.01,503.8,750.9,229.1,79.96,20.56,19.84,69.58,5.62,0.79,57.0,0.0026,2024-08-22,70.44,Good
WQ1376,Punjab,Groundwater,6.75,20.6,2.06,5.96,5.55,32.79,406.8,446.1,395.5,81.92,21.65,52.61,142.59,9.59,0.42,58.0,0.0127,2024-11-25,86.35,Good
WQ1377,Karnataka,Tap,6.1,28.0,10.23,6.82,2.08,1.65,214.4,882.4,86.4,52.21,20.55,3.47,25.4,6.26,0.28,181.0,0.0067,2025-12-12,85.62,Good
WQ1378,UP,Groundwater,7.13,14.1,0.44,11.34,11.96,4.25,744.0,473.4,443.6,91.31,24.03,49.67,11.56,8.79,0.07,18.0,0.0139,2024-11-20,78.46,Good
WQ1379,Maharashtra,Lake,9.26,28.5,1.19,4.15,0.31,9.76,325.5,669.4,263.6,88.41,35.02,43.43,40.03,13.62,0.79,265.0,0.0072,2024-05-30,81.14,Good
WQ1380,Karnataka,Reservoir,6.56,17.9,6.98,3.3,1.08,13.27,81.9,1134.1,240.4,62.58,29.03,120.89,5.87,3.75,0.23,215.0,0.0009,2025-06-29,90.81,Excellent
WQ1381,UP,Tap,8.51,27.7,0.26,8.57,3.05,8.77,715.6,501.7,230.2,48.71,31.0,35.07,17.04,15.11,0.18,31.0,0.0133,2025-09-27,82.95,Good
WQ1382,Odisha,Tap,8.54,24.1,3.39,5.64,1.29,7.73,349.1,228.1,206.4,35.68,30.99,323.87,11.65,1.42,0.63,190.0,0.0179,2024-02-01,87.02,Good
WQ1383,Delhi,Pond,6.76,19.2,2.92,6.36,7.91,66.44,328.4,384.2,354.8,59.06,35.61,15.95,25.26,2.53,0.49,166.0,0.0234,2024-09-28,83.64,Good
WQ1384,Odisha,River,7.66,22.0,2.04,5.44,0.2,20.52,96.9,998.3,143.1,74.24,28.46,71.52,5.9,0.35,0.27,207.0,0.0085,2025-09-27,93.61,Excellent
WQ1385,TamilNadu,Reservoir,8.5,27.4,2.51,6.48,2.39,0.47,798.2,776.4,284.5,51.9,29.31,7.52,1.62,3.63,0.62,31.0,0.014,2025-01-02,86.76,Good
WQ1386,Delhi,Well,6.9,24.5,3.77,10.2,2.68,11.25,192.1,661.3,211.6,5.06,39.27,105.9,53.47,3.82,0.19,26.0,0.0139,2025-05-06,92.94,Excellent
WQ1387,TamilNadu,Tap,7.04,26.9,0.88,8.6,3.17,41.59,461.7,547.3,173.8,91.72,17.02,420.02,47.11,13.09,0.95,40.0,0.0017,2024-11-11,90.45,Excellent
WQ1388,Kerala,Groundwater,6.73,33.9,4.24,8.72,0.89,7.18,632.5,845.6,508.6,64.76,14.73,136.8,61.61,8.47,0.16,68.0,0.0018,2025-08-12,92.82,Excellent
WQ1389,Haryana,Reservoir,6.39,16.2,8.18,4.17,1.36,1.99,534.3,445.3,291.9,50.51,10.77,64.9,54.0,4.59,0.1,237.0,0.0007,2025-08-10,88.71,Good
WQ1390,Odisha,Pond,6.68,32.1,7.14,4.7,5.57,28.41,438.1,791.7,311.3,81.43,27.19,53.05,6.07,8.45,0.92,201.0,0.0039,2025-07-25,83.36,Good
WQ1391,Haryana,Well,6.22,24.5,0.84,1.32,0.65,18.63,109.7,480.6,363.8,98.12,2.76,144.16,17.2,0.43,0.74,389.0,0.0064,2025-08-19,90.85,Excellent
WQ1392,Haryana,River,7.23,19.5,0.81,5.38,5.26,16.89,288.1,430.7,107.9,2.0,30.55,219.88,6.94,1.59,0.12,9.0,0.0616,2025-01-02,90.15,Excellent
WQ1393,Maharashtra,River,6.58,17.3,1.56,8.91,2.48,1.1,487.6,508.8,425.2,70.86,23.69,362.31,92.57,7.89,0.07,2.0,0.0056,2024-03-20,91.33,Excellent
WQ1394,Delhi,Pond,7.39,23.1,2.24,8.03,4.31,3.03,292.6,587.4,10.0,24.33,38.62,40.41,68.7,8.2,1.09,180.0,0.013,2024-06-20,86.65,Good
WQ1395,Kerala,Pond,5.96,28.6,2.63,6.56,3.75,19.49,490.7,685.4,173.1,72.48,16.94,376.11,11.25,11.9,0.9,49.0,0.0118,2024-09-14,84.33,Good
WQ1396,TamilNadu,Groundwater,7.46,23.4,5.69,6.96,0.7,4.66,586.3,770.6,204.1,63.2,22.56,13.56,20.88,4.13,0.24,61.0,0.0023,2024-10-05,93.09,Excellent
WQ1397,UP,Tap,7.87,31.6,0.29,5.62,2.52,14.03,642.5,50.0,308.2,75.89,38.47,23.39,169.98,10.26,0.64,119.0,0.0006,2025-05-18,87.52,Good
WQ1398,Punjab,River,5.61,16.7,0.18,7.41,6.07,15.74,204.8,457.7,271.9,47.52,41.6,7.46,45.09,9.22,0.08,16.0,0.0079,2025-07-11,80.96,Good
WQ1399,UP,Well,7.5,23.9,2.49,8.53,1.7,6.67,889.3,582.5,233.3,13.17,16.84,25.37,80.76,26.46,0.42,154.0,0.012,2025-05-05,84.72,Good
WQ1400,Punjab,Reservoir,8.18,17.7,5.97,3.77,10.2,59.29,603.5,1151.5,248.8,48.74,27.18,116.86,15.37,1.94,0.01,59.0,0.0635,2025-08-07,75.84,Good
WQ1401,Odisha,Well,6.23,25.8,1.07,7.6,1.81,36.96,449.7,376.0,152.2,70.17,28.53,153.34,11.79,6.42,0.3,150.0,0.0044,2025-07-19,89.69,Good
WQ1402,Rajasthan,Lake,8.54,28.4,5.13,8.86,0.46,25.63,667.9,748.8,100.3,85.38,29.48,120.73,76.6,7.37,0.05,269.0,0.0227,2024-12-02,85.17,Good
WQ1403,UP,Lake,7.54,21.9,1.5,6.17,1.48,1.62,923.1,1148.5,322.7,30.7,21.85,79.77,57.9,52.85,0.39,28.0,0.0048,2025-06-04,78.49,Good
WQ1404,Karnataka,Pond,6.64,11.0,10.86,8.4,9.09,2.24,162.3,306.1,319.4,85.68,40.38,57.72,57.12,1.8,0.33,401.0,0.0117,2024-11-21,76.76,Good
WQ1405,Karnataka,Groundwater,7.16,25.0,11.3,12.63,1.16,13.58,404.9,818.2,408.4,43.8,2.32,98.67,40.22,5.93,0.35,113.0,0.0091,2024-06-20,91.16,Excellent
WQ1406,Gujarat,Lake,7.65,26.2,1.76,6.79,6.08,3.5,20.0,459.3,171.0,69.06,19.95,39.65,41.46,3.4,0.03,384.0,0.0005,2024-03-24,82.24,Good
WQ1407,Delhi,River,7.26,26.0,1.31,7.79,6.39,76.58,488.5,548.6,319.3,47.25,30.38,147.26,66.53,5.97,0.27,35.0,0.0008,2025-06-07,86.58,Good
WQ1408,Punjab,Well,7.63,30.2,2.65,5.52,1.29,3.45,523.1,459.1,221.6,64.55,30.49,90.46,15.74,2.11,0.85,139.0,0.0002,2025-04-25,92.1,Excellent
WQ1409,Punjab,Well,6.46,18.6,1.38,7.36,0.26,13.37,442.2,480.4,369.0,82.3,41.23,95.73,21.75,0.39,0.28,78.0,0.0046,2025-06-27,95.6,Excellent
WQ1410,MadhyaPradesh,Pond,7.34,27.4,5.58,7.92,3.87,9.05,319.1,1516.6,352.2,29.32,39.38,61.42,102.64,6.8,0.75,223.0,0.0137,2025-02-21,86.55,Good
WQ1411,Bihar,Tap,6.07,30.0,8.75,7.39,1.12,20.4,40.1,953.3,271.1,43.0,21.57,173.19,18.47,3.27,0.28,140.0,0.0019,2024-12-04,88.66,Good
